"Supplier Name","Supplier Account","Currency","Settlement Date","Reference","ID","Issue Date","Due Date","Type","Counterparty Name","Discount ID","Activity Type","Remit Type","Remit No","Remit Date","Pay Date","Invoice Tenor","Net Amount","Gross Amount","Adj Amount","Disc Amount","PO No","Doc No","Comment","Adj Code","Add. Info.","Base Rate(%)","Spread Rate(%)","Discount Rate(%)","Discount Tenor","CM Adjusted","CM Adjusted Net Amount","Fee","Charge","Proceeds","Add. Info."
"AMERIT FLEET SOLUTIONS INC","1769959401","USD","2020-04-10","1716996_20","51319490","2020-04-09","2020-07-06","PAYMENT NOTIFICATION","AT AND T","7258538","DISCOUNT","IV","SB5796200405","2020-04-05","2020-07-06","92","2044.45","2044.45","0.00","0.00","","","","","","1.22","1.00","2.22","87","0.00","2044.45","0.00","10.96","2033.49",""
"AMERIT FLEET SOLUTIONS INC","1769959401","USD","2020-04-10","1716996_20","51319490","2020-04-09","2020-07-06","PAYMENT NOTIFICATION","AT AND T","7258538","DISCOUNT","IV","SB8333200405","2020-04-05","2020-07-06","92","1533.66","1533.66","0.00","0.00","","","","","","1.22","1.00","2.22","87","0.00","1533.66","0.00","8.22","1525.44",""
"AMERIT FLEET SOLUTIONS INC","1769959401","USD","2020-04-10","1716996_20","51319490","2020-04-09","2020-07-06","PAYMENT NOTIFICATION","AT AND T","7258538","DISCOUNT","IV","SB83332004051","2020-04-05","2020-07-06","92","179.99","179.99","0.00","0.00","","","","","","1.22","1.00","2.22","87","0.00","179.99","0.00","0.97","179.02",""
"AMERIT FLEET SOLUTIONS INC","1769959401","USD","2020-04-10","1716996_20","51319490","2020-04-09","2020-07-06","PAYMENT NOTIFICATION","AT AND T","7258538","DISCOUNT","IV","SB840P200405","2020-04-05","2020-07-06","92","1317.90","1317.90","0.00","0.00","","","","","","1.22","1.00","2.22","87","0.00","1317.90","0.00","7.07","1310.83",""
"AMERIT FLEET SOLUTIONS INC","1769959401","USD","2020-04-10","1716996_20","51319490","2020-04-09","2020-07-06","PAYMENT NOTIFICATION","AT AND T","7258538","DISCOUNT","IV","SC1600200405","2020-04-05","2020-07-06","92","2325.94","2325.94","0.00","0.00","","","","","","1.22","1.00","2.22","87","0.00","2325.94","0.00","12.47","2313.47",""
"AMERIT FLEET SOLUTIONS INC","1769959401","USD","2020-04-10","1716996_20","51319490","2020-04-09","2020-07-06","PAYMENT NOTIFICATION","AT AND T","7258538","DISCOUNT","IV","SC3219200405","2020-04-05","2020-07-06","92","1708.13","1708.13","0.00","0.00","","","","","","1.22","1.00","2.22","87","0.00","1708.13","0.00","9.16","1698.97",""
"AMERIT FLEET SOLUTIONS INC","1769959401","USD","2020-04-10","1716996_20","51319490","2020-04-09","2020-07-06","PAYMENT NOTIFICATION","AT AND T","7258538","DISCOUNT","IV","SC513F200405","2020-04-05","2020-07-06","92","940.88","940.88","0.00","0.00","","","","","","1.22","1.00","2.22","87","0.00","940.88","0.00","5.05","935.83",""
"AMERIT FLEET SOLUTIONS INC","1769959401","USD","2020-04-10","1716996_20","51319490","2020-04-09","2020-07-06","PAYMENT NOTIFICATION","AT AND T","7258538","DISCOUNT","IV","SD192P200405","2020-04-05","2020-07-06","92","2304.75","2304.75","0.00","0.00","","","","","","1.22","1.00","2.22","87","0.00","2304.75","0.00","12.36","2292.39",""
"AMERIT FLEET SOLUTIONS INC","1769959401","USD","2020-04-10","1716996_20","51319490","2020-04-09","2020-07-06","PAYMENT NOTIFICATION","AT AND T","7258538","DISCOUNT","IV","SE8092200405","2020-04-05","2020-07-06","92","1063.55","1063.55","0.00","0.00","","","","","","1.22","1.00","2.22","87","0.00","1063.55","0.00","5.70","1057.85",""
"AMERIT FLEET SOLUTIONS INC","1769959401","USD","2020-04-10","1716996_20","51319490","2020-04-09","2020-07-06","PAYMENT NOTIFICATION","AT AND T","7258538","DISCOUNT","IV","SF7639200405","2020-04-05","2020-07-06","92","2159.87","2159.87","0.00","0.00","","","","","","1.22","1.00","2.22","87","0.00","2159.87","0.00","11.58","2148.29",""
